mt5_date,prev_bar_mt5,next_bar_mt5,gap_seconds,missing_m5_bar_estimate
2019.04.02,2019.04.02 23:10:00,2019.04.02 23:30:00,1200,3
2019.04.03,2019.04.03 23:10:00,2019.04.03 23:30:00,1200,3
2019.04.04,2019.04.04 23:10:00,2019.04.04 23:30:00,1200,3
2019.04.08,2019.04.08 23:10:00,2019.04.08 23:30:00,1200,3
2019.04.09,2019.04.09 23:10:00,2019.04.09 23:30:00,1200,3
2019.04.10,2019.04.10 23:10:00,2019.04.10 23:30:00,1200,3
2019.04.11,2019.04.11 02:30:00,2019.04.11 02:55:00,1500,4
2019.04.11,2019.04.11 02:55:00,2019.04.11 03:15:00,1200,3
2019.04.11,2019.04.11 03:30:00,2019.04.11 06:05:00,9300,30
2019.04.11,2019.04.11 23:10:00,2019.04.11 23:30:00,1200,3
2019.04.15,2019.04.15 23:10:00,2019.04.15 23:30:00,1200,3
2019.04.16,2019.04.16 23:10:00,2019.04.16 23:30:00,1200,3
2019.04.17,2019.04.17 23:10:00,2019.04.17 23:30:00,1200,3
2019.04.18,2019.04.18 23:10:00,2019.04.18 23:30:00,1200,3
2019.04.22,2019.04.22 23:10:00,2019.04.22 23:30:00,1200,3
2019.04.23,2019.04.23 23:10:00,2019.04.23 23:30:00,1200,3
2019.04.24,2019.04.24 23:10:00,2019.04.24 23:30:00,1200,3
2019.04.25,2019.04.25 23:10:00,2019.04.25 23:30:00,1200,3
2019.04.29,2019.04.29 23:10:00,2019.04.29 23:30:00,1200,3
2019.04.30,2019.04.30 23:10:00,2019.04.30 23:30:00,1200,3
2019.05.01,2019.05.01 23:10:00,2019.05.01 23:30:00,1200,3
2019.05.02,2019.05.02 23:10:00,2019.05.02 23:30:00,1200,3
2019.05.06,2019.05.06 23:10:00,2019.05.06 23:30:00,1200,3
2019.05.07,2019.05.07 23:10:00,2019.05.07 23:30:00,1200,3
2019.05.08,2019.05.08 23:10:00,2019.05.08 23:30:00,1200,3
2019.05.09,2019.05.09 23:10:00,2019.05.09 23:30:00,1200,3
2019.05.13,2019.05.13 23:10:00,2019.05.13 23:30:00,1200,3
2019.05.14,2019.05.14 23:10:00,2019.05.14 23:30:00,1200,3
2019.05.15,2019.05.15 17:10:00,2019.05.15 17:35:00,1500,4
2019.05.15,2019.05.15 23:10:00,2019.05.15 23:30:00,1200,3
2019.05.16,2019.05.16 23:10:00,2019.05.16 23:30:00,1200,3
2019.05.20,2019.05.20 23:10:00,2019.05.20 23:30:00,1200,3
2019.05.21,2019.05.21 23:10:00,2019.05.21 23:30:00,1200,3
2019.05.22,2019.05.22 23:10:00,2019.05.22 23:30:00,1200,3
2019.05.23,2019.05.23 23:10:00,2019.05.23 23:30:00,1200,3
2019.05.28,2019.05.28 23:10:00,2019.05.28 23:30:00,1200,3
2019.05.29,2019.05.29 23:10:00,2019.05.29 23:30:00,1200,3
2019.05.30,2019.05.30 23:10:00,2019.05.30 23:30:00,1200,3
2019.06.03,2019.06.03 23:10:00,2019.06.03 23:30:00,1200,3
2019.06.04,2019.06.04 23:10:00,2019.06.04 23:30:00,1200,3
2019.06.05,2019.06.05 23:10:00,2019.06.05 23:30:00,1200,3
2019.06.06,2019.06.06 23:10:00,2019.06.06 23:30:00,1200,3
2019.06.10,2019.06.10 23:10:00,2019.06.10 23:30:00,1200,3
